Название товара;Подкатегория 2;М-видео;Цена М-видео;Эльдорадо;Цена Эльдорадо;ДНС;Цена ДНС;Ситилинк;Цена Ситилинк;Яндекс Маркет;Цена Яндекс Маркет
Холодильник Candy CCRN 6180S;Двухкамерные холодильники;https://www.mvideo.ru/products/holodilnik-candy-ccrn-6180s-serebristyi-20070161;35999;https://www.eldorado.ru/search/catalog.php?q=Candy%20CCRN%206180S&utf;35999;https://www.dns-shop.ru/product/7d08c5e0d072ed20/holodilnik-s-morozilnikom---candy-ccrn-6180s-serebristyj/;35999;https://www.citilink.ru/product/holodilnik-candy-ccrn-6180s-serebristyi-1396216/;35999;https://market.yandex.ru/product--ccrn-6180/667254003?sku=101627848785&uniqueId=42916340&do-waremd5=5x0laHXmE-iteAbaEky6Bw&sponsored=1&cpc=oF05LIrqZr6AF8M-PTFafV0mLWVoxWrB-l8El5kh6XBIUEUSwIK_8_K8rhw6UBM4uyEef_4pst_Beu4R90SXoDm4woXbAdHCU_OAb7qqZpgyu2MR0U-JgZeqYgCWiufcsUcZnS8wtXGuizeO3rigNzy5qbDc58pbrbzOWuFdoqCHwP8hkHqetarwlZivKPtNKvnDyKbe18ncOEcNtSpvqWpqBP4cWxCHedJoYeji8d-qVeMHAAhjJy78TyCviVuwntZQma2ILqX8nnpe8ZhExYXnfNCi4b20pU2F811CgWZFFFFMpRNXEFHNFWaF2oeo2fQScC1XXDk684pQg7ZRUgn8VmnzI2wHFt3muT-8wfGizFBYg8L3xZz12iEFsNFivvPPZYC4OBJkR-w7N3jEKRidJssOEc35vAV8hPwhqJ4ItW3sG2yFmyk-dFagEjmL6mzDqB1va4Ug_jpIAebOZk-ySIaL5c5T76kDIgAC8Sx03SXaDA8Qf-CRSM8GTfdb3h5s1mG_Iw7gLEFjPMJRHpF-hx24UiPHzfpPirtU6UY%2C;35999
Холодильник LG GC-B459SECL;Двухкамерные холодильники;https://www.mvideo.ru/products/holodilnik-lg-gc-b459secl-400291860;65590;https://www.eldorado.ru/cat/detail/kholodilnik-lg-gc-b459secl-590291860/;65590;https://www.dns-shop.ru/product/038dc70f3233e694/holodilnik-s-morozilnikom---lg-gc-b459secl-bezevyj/;37799;https://www.citilink.ru/product/holodilnik-dvuhkamernyi-lg-gc-b459secl-invertornyi-bezhevyi-1896423/;57070;https://market.yandex.ru/product--kholodilnik-lg-gc-b459slcl/1808560744?sku=101832991102&uniqueId=924320&do-waremd5=d63k4Z0bRPxzAs2HKWjq_Q&sponsored=1&cpc=hVt4S4N4pkjTbfKHwBS7MjVQBnkMQdWI8Tp6BlpQ59xHrsT13tJtyPvMGcgQcgY2W2JtvAUCdxWrSC6vkaT1_D5FzRo4cKCPvN1TrQTCPbQ7i7U_oK82wuCz5f3hMFCLZYG6jKERDVJ8abxlKv6p4zYyp9jfvNHKyBEqjzAdqyr31TWOyPK2WnDR7zV4hYG0tsXi26lUaHTUr7XHNkDNVaLngp1_05CdgBd-t69_af0Uvsi8Gb7ZEDwxUuMbn5w6GmTM06VlRBFdxE-i1bt0KcnHpW9Ss-58NmFy3GeGEE4dJoOLxwj_4bHYePMfej-vjTJqVBT4Ctd4PL_HN47Yz4nfvUK1qG4FWAWQUm_pUSlsMW08iOcRgox1Rykl2Ieq4xWaaecbqS4Fkd7kmUx9MecASOgE-PNrr0e5jVNF-k6mQgaxh-V4c5hpXph6zqyVB3J_JEnqJTUCgqVX69RqtRmXiWVf9X-n9NLhDP0cGaSR_WKReYTUyYOPGwTEXAWI0xBm4d8nHPQb6635XaR_M19Y8wC0M9uZD34oi4NuooY%2C;54867
Морозильная камера Haier HF-82WAA;Морозильные камеры;https://www.mvideo.ru/products/morozilnaya-kamera-haier-hf-82waa-20038672;22499;https://www.eldorado.ru/cat/detail/morozilnaja-kamera-haier-hf-82waa/;22499;https://www.dns-shop.ru/product/ee6b9b6845b63330/morozilnyj-skaf-haier-hf-82waa-belyj/;22499;https://www.citilink.ru/product/morozilnaya-kamera-haier-hf-82waa-belyi-b30hq1e06ru-1807075/;22999;https://market.yandex.ru/product--hf-82waa/1780792013?sku=39584000&uniqueId=82994844&do-waremd5=eQkb2wkKCORhsiyEP6V6kA&sponsored=1&cpc=DyJ_BbJd9XqqItKbAnaEfDumHoj-UYh831fF1f8pQ2PRzgKfx-HZvplK0PXNLlDoRqIRqaoAFCbv9wIkMLoqulMJ7DsosJ_9iRS_drJFCPWZ98K8fwoeE9Kn0Pwc89n4wNb4tNMQDwzUCti6JJJa8Zc7QIhYijFUKrwkj1eLo0vRy2nTICyBCaWS2ChQFtADMcdY959SkZNdprlPaj3Nw8oSS9XVBIEJU1K6WgbXXZi8Ku2vo7aYXQVuXqcwJJZV4MBeMRLuLcX9AbCW3yVXsNspUp_Lcuis0uUf-r234aelROzRap9_7QOFp1vycDp4NaQ07BCeF4Xw17aZE_VZIXWcOt2eEBZqbk8Mc_F-NoUTIgp1Hib2XafdmJh0izRMOpgEP3P9OXTYaI07ey1OR9mBRWif3j2rAvYyTO80-lDu-1Ysp0c_MUwGElc3AojE8ruZpuq882JcZj9MKCeCLw-7fzUY0l_Hw2rsb92hlxmLQ58IFS86H_I6Af77Cvix6PfQYPnr_wtGg0bmUkCcGaxzcm_xpTGyE5DfhkxdmBw%2C;23399
Морозильная камера Hyundai CU1009;Морозильные камеры;https://www.mvideo.ru/products/morozilnaya-kamera-hyundai-cu1009-400298673;26999;https://www.eldorado.ru/cat/detail/morozilnaya-kamera-hyundai-cu1009/;26999;https://www.dns-shop.ru/product/455e1ea7ff393964/morozilnyj-skaf-hyundai-cu1009-belyj/;21899;https://www.citilink.ru/product/morozilnaya-kamera-hyundai-cu1009-belyi-1941885/;22290;https://market.yandex.ru/product--hyundai-morozilnaia-kamera-hyundai-cu1009-belyi/5962219?sku=102410918465&uniqueId=16258215&do-waremd5=NXu-IAEkgmO9Y9jbjZ0gKw&sponsored=1&cpc=yPNmEc1cWp6DfYGmcWeisZGt37LN1NGmZPzIvt53kTRdUYUtMOku6BltalRMoCGmBiR4FymYqByKAiA5nbTlOhpniiNiE247LUjTjQvL3TOWMhh98NQtgnbHvwztJk_03X4q9fROVZQXn2G6g7DMLRJNmqMHEuVcb_GFDuVd4a-Rk2Nf_pYb19odVBJuUafhMg7rq4LMoa8f0Byy1qQGV-s9B1Hs2W2d4DJYQqPiGW-cJgZ7a4Zg6ApKPwbWnhDK6kRZw4qRa0UHq6oaudn0k7f4g8APTfXNhB_kZFaFdVn7klrDh4A1v8fwp9PpOvFN1npbXVOmP4hhmniAwketF3TlxPUqYradDqdCLNvi50Up6FToanu0JfgYSTGhZxCxz2aJ0vyjVQ_FBmr_Q2AXKH7-oZhpscvjP_NYyHEU5AU42habt-0QLSVKyRNkV3Ic47d_ACz8Kt7U9aEpwHmrr1q-T5jnOV9rDPIz4fQqOEsS1gA3-t3CpDvEjjSfNMFwuixfHDZwkRYXBlRYF3_2nebkatJDxHf0cNnFI7H7Eh4%2C;24857
Холодильник Hyundai CS6503FV;Холодильники Side-by-Side;https://www.mvideo.ru/products/holodilnik-hyundai-cs6503fv-4192180;101999;https://www.eldorado.ru/cat/detail/kholodilnik-hyundai-cs6503fv/;112490;https://www.dns-shop.ru/product/f700f2746cd6703d/holodilnik-side-by-side---hyundai-cs6503fv-belyj/;86999;https://www.citilink.ru/product/holodilnik-dvuhkamernyi-hyundai-cs6503fv-no-frost-side-by-side-inverto-1455467/;78900;https://market.yandex.ru/product--kholodilnik-hyundai-cs6503fv-dvukhkamernyi-white-glass/226589731?sku=103196250841&uniqueId=924877&do-waremd5=GlLxfzsCSr8h_aO-xuquMQ&sponsored=1&cpc=hDceEsRzpnzyhzq1DVJnaIcwThZv0M4MPW1ikeLGacK4DANhFMaOEZ7VHjqDpkbfEzj9hCV6LXpsJE95Tzih2qKH5Q_yfaX7022UGRhLOx3eCFx7u06s6gDtPWHvbWnGEkVGJQUBvxkG0z-ddV45020i0ur9bKb4xM9JDpJHGelHB9wGxU3Ae4aPYQ2sJ1CCnDDEnl4q2aN2fPs6Vpfsdah1XJuqvq9prXDxvdlYSfoLLXLPuC5Yvdt6aNFjr4efnRQzrWHVxGHVk3ZYx8AoPwyOmJZ2uWJQSLqzqUvKQyZ4L9uDS6-SEbLRF2vnGeSlac0SQqxaAeajHp52Uf6czXEo1t0ZVyMZp8wXuJea_l2SleZcGrrYRVszNgQSaaRSkOu_SV9szCDGaKTO71KZK01e2EI7DhmE6IYoWuFtq1JV2dcdT7_SLjc9T3Rw6oYF32xaz1J2AWmcISFTRaG2ZzwjC67hVTpp6VSLt4qPutc3TBe_SFznT3G7-9NLlmRpr84yCYiv8AmjkspZng71b-ciILkPfEuFCNzltubL0gc%2C;97998
Холодильник Hyundai CS6073FV;Холодильники Side-by-Side;https://www.mvideo.ru/products/holodilnik-hyundai-cs6073fv-4199932;134490;https://www.eldorado.ru/cat/detail/kholodilnik-hyundai-cs6073fv/;122490;https://www.dns-shop.ru/product/5577f04cf7fa3333/holodilnik-mnogodvernyj---hyundai-cs6073fv-bezevyj/;83799;https://www.citilink.ru/product/holodilnik-trehkamernyi-hyundai-cs6073fv-no-frost-side-by-side-inverto-1455462/;109230;https://market.yandex.ru/product--cs6073fv/1780788621?sku=677009553&uniqueId=16258215&do-waremd5=MLT1Dgz6Op41motmx2oQ5A&sponsored=1&cpc=NZNjU6w1CJlm8xsMRfcqlVk34MJJaOR9kEqRQDl93-PqtqIU7EyR9gtydHFTS3DXp1pxdG_KtrJSPZm-bpx7Jo7vAlvrLqRMpVglvfKJMxcrifPGB45ptp9pe4HJHTzGrK58RdRZJt1_yY2fpUK2Ss5xkVy6hCSGmEppebdTZgyEiL_-AsyjmM8x2RfGATedb3nyyYxrlk_aE2Rvi3hJwS956OWHEqRDOKCaAA7QT65ZORO01D3HyCA4rwuKNNP8XuJ3Dosxb1LxUso_YA5ZYNglkauUtyqi_fQkfsIqstij4CUR2OpxUe9AJSJVoZH3zZ2s2rOsmKiP5Fac5gnBiImzk_X9AdwogGP4RSI7lwjRpHTmnvSfVoWPbMgsSDmuFpV_qDNjBY7U8vXZTq-gq1fAoxf9Aiat4J4aMBTCuP1yxBKvPeePM-8i-tcUhiLXqLByP-ng5hWjdbllodK4rm_2PUvciUvGcBLtCDAZZRf4QuSSQDVQ_tcyNa8_cMIORHSMZVcfAbpiu2Ak8jmrZQcYSvYlZHApzMJnHmP8VyY%2C;100814
Газовая плита Gefest ПГ 5100-03 0004;Газовые плиты;https://www.mvideo.ru/products/gazovaya-plita-50-55-sm-gefest-pg-5100-03-0004-20047048;41900;https://www.eldorado.ru/cat/detail/gazovaja-plita-gefest-pg-5100-03-0004/;41690;https://www.dns-shop.ru/product/ed4ab46b1d3c3332/gazovaa-plita-gefest-pg-5100-03-0004-serebristyj/;40290;https://www.citilink.ru/product/gazovaya-plita-gefest-pg-5100-03-0004-gazovaya-duhovka-steklyannaya-kr-489306/;40060;https://market.yandex.ru/product--5100-03-0004/33222102?sku=101641025789&uniqueId=769149&do-waremd5=uDRD8Ytw4Z-mrNtCU0ZvQg&cpc=6SI22jbl5VfwrrzYuUwHBS_FsDfZdpNwqoIkJsLJuxAyb8Fror6t3SQBj4ZSSR05JurraLeI6a5CLsTXrxjhQp8b9Q1cWT9km_l8VCvlvHjoxZC7RUp3_53_vqv_nRKVroWerXVEO_3yJMPXRuKbR3V9Rd1gv1C386gQdpKN9g0JqPeDydXPI41Q8JyOjy1crEIquM5kPQv8HY4Zgb2A18BBXwHzd37S1s28ANNcdanRDuUCITCcJ-2ZpQFJhfOe4QNet_praiUWHicpapLyIV2G2o2WGNLfXOH9sWjm3uZCj_mN4TlU9O-Y3Quy-J4u9V62Ss06zKEcBGloO6Am5XuJL6mDHbr7ZtLOb-znXu2ajXgX1P5iXhnaODelfDHisWaUUEFmcpJhUug_4mhKUooatKIyFALGYuOmSt3gUyy3f2FU-LRQ1G1_IYIsA9sB9HsCgvapyh8muAiXEliPx1z_0MBEGoBoy8ddD2iHDgHrfS-wrZbQ1viOgEbMtzMOLqBczF0-oiE%2C;38638
Газовая плита (50-55 см) Darina 1AS GM521 001 W;Газовые плиты;https://www.mvideo.ru/products/gazovaya-plita-50-55-sm-darina-1as-gm521-001-w-400281440;17990;https://www.eldorado.ru/cat/detail/gazovaya-plita-darina-1as-gm521-001-w/;18490;https://www.dns-shop.ru/product/043eb9c3204d3330/gazovaa-plita-darina-sgm-441-001-at-cernyj/;17599;https://www.citilink.ru/product/gazovaya-plita-darina-1as-gm-521-001-w-gazovaya-duhovka-stal-belyi-i-c-290487/;15690;https://market.yandex.ru/product--1as-gm521-001-w/1780149343?sku=7083217&uniqueId=892410&do-waremd5=ZDAOmvwGkNXbKfubkNcdSA&sponsored=1&cpc=OC0YLE6_QRqNcFhMQw7qKPLZgNBbIRKkNJOgll9NOs2E1gT7VsVNz67PFDKDyj9KnU6Vo_4egZ_dA62TEyP6Qt_VqrQA9bohGHcnyWkUbWvkKR7knbp5kuHM7OqpvwTGRZPxcDhDb2muDEr-irygRtUq4yjP_IddiebCC6rcBOGYLabFH-C51k9RqRRK1f5pZi32xu1ZltOk8cRzWOmGtGMNEA1gQj5Wp5GT9QQ1_y4Z4NINeTHMilnjBJJkXb-CmgKQU2cqE0vpPg2v98priz94L8BsGQ9kI58mgAgoVax6Xq3SmmxbdU2-d1kp-QM1wPl-hdFLd2r6T4VSIcTNJd_qZscH0r6b434nR-kIgeh5cwqPvl6ofxiYrsJ2ZX30-JCLjN4Y1_ZEj_yRhpAoU_NXiKjgOJ7_12jxVzaV1ZLYb3KmE-mJIQDGOOKgZl6oMtDUy_yl2tNRdSR8pSTXhMMCofLMlcxkwRmpwiggDRckONxtEoPBAGNK0YPmHxX2kdKgcLCwllAeVrXhpkp7IPyJg-torGuxB-tXC8m7_hw%2C;18607
Электрическая плита Лысьва ЭП 401 СТ;Электрические плиты;https://www.mvideo.ru/products/elektricheskaya-plita-50-55-sm-lysva-ep-401-st-black-4166731;18690;https://www.eldorado.ru/cat/detail/elektricheskaya-plita-lysva-ep-401-st-black/;18699;https://www.dns-shop.ru/product/71066a64b2293330/elektriceskaa-plita-lysva-ep-401-st-cernyj/;16199;https://www.citilink.ru/product/elektricheskaya-plita-lysva-ep-401-st-emal-bez-kryshki-belyi-599399/;17570;https://market.yandex.ru/product--ep-401-ct/285918867?sku=101645663751&uniqueId=923940&do-waremd5=X3NAKHz4v5G4iXp0uKQvAg&sponsored=1&cpc=HW3JMH2HqcWOGrqidj0fphF5Wve_ot-9eQUjVyu2tGSZChkYzSRY-ASHjVrfxbw9Dh523OCRMYPcm4pyO4HRLrePyAOhXwgXPs7GLx1foTLGKFotdBTnR4yWtF4cMb6g1OuVKw4FxmE9JghgcToD30WAP0-a68_kQENGQZbJgJFNgQ894FK58Uqv6HxI6ZwRgayCdgStV3uZ9gVXZnwVwQdcVvId4C9l_ncVDvH2EIVLnjL0uYo0GAzNTe9GcZKdHZk8XnQ_a-12F-FY-D-_D_nVWHKvSTCVjn9153A_7BpuyNvq2rawMJadfbgUQPJW9NLvlgTK7GiWgS7yJ3qsSJAkCMfD8Iw27g08pX_Wp3NnDZVheiRf4HhsqPoyZOIwqGzo19Jodx3IH6T4F9ObePW_VLxFYC57lSzuhioGJHjSxVxCWd7HRIP1GZUmdFpZar4VwKOrHK4lRAgqi6jjkc_HjLD09M2BD90nhnv-cFzhIVdWCNdBsPqOSDPwxtVWcu35fk05pAMSWik020vDMAju5rKxT3Da;18261
Электрическая плита Gorenje GEIT5C61XPG;Электрические плиты;https://www.mvideo.ru/products/elektricheskaya-plita-50-55-sm-gorenje-geit5c61xpg-400335024;75999;https://www.eldorado.ru/cat/detail/elektricheskaya-plita-gorenje-geit5c61xpg/;75999;https://www.dns-shop.ru/product/090995f7c770364e/elektriceskaa-plita-gorenje-geit5c61xpg-seryj/;62799;https://www.citilink.ru/product/elektricheskaya-plita-gorenje-geit5c61xpg-steklokeramika-indukcionnaya-1844035/;69974;https://market.yandex.ru/product--plita-elektricheskaia-gorenje-geit5c61xpg-nerzhaveiushchaia-stal/1778593952?sku=101815278391&uniqueId=140252400&do-waremd5=OuO9JyYBi9DUAKVCron-zQ&sponsored=1&cpc=BdhCkQOSNSS1U_bVCbhn-9VHN-scTCkuAtG3MTBr6LbE1Rudi3nP90DO55B1gXXKKOeAda-5PJ0RyQ2FfgQhvK1PoY_uGCT-KVV6Rq57UcV0xWOjqXagmv1nlqBLezg0H2jJf085XD0iVG-Hpqdoxl1n7x48zU6L_nUq6zkMP6H-Pjs2063AYVSGSvmXyyYksJbfYC5nADy1oab173xXflGvqFoBIw96Z0d2E44wWEJrw-StnfZZR2ho0Mr46cv8XUmY1ijRVgXaEJbsLaEI92wc2RmImZPdBEc9uWfQhzp03nD5tucTxbm2OiIuevIpH0hfYpAR_6O90C3rvAEHbGCKF7eJE15GLSTHyXr3Ing5OCY9rX45d3Z8FL2tJFFe-Yw7-Tax1262x0TVe3fYpEvuhX48Prqba3SNtb2g8r0FRjOAmFrO75Gd5kUWrzw6oyhvDDhod71BiqiU_0eTyJ_qXG2zgwoOkJJKBb8HpDh2U-Fo0dCyABwXqdbePiK8Q3CJRxTtCtJ2MA5xO013J4NdoAcs9oQQwwxBc7c3pog%2C;54333
